Time_step,gnss_dr_lat,gnss_dr_long,vrtk_lat,vrtk_long,gt_lat,gt_long,vrtk_plus_code
68,37.37686833,126.6665525,,,37.37688113,126.6665653,8Q989MG8+JXQF
69,37.37686817,126.6665535,,,37.37688057,126.6665659,8Q989MG8+JXQM
70,37.3768675,126.6665545,,,37.3768795,126.6665665,8Q989MG8+JXQW
71,37.37686733,126.6665562,,,37.37687893,126.6665678,8Q989MG8+JXX4
72,37.37686617,126.6665592,,,37.37687737,126.6665704,8Q989MG8+JXX5
73,37.37686333,126.6665645,,,37.37687413,126.6665753,8Q989MG9+J2R6
74,37.3768605,126.6665697,,,37.3768709,126.6665801,8Q989MG9+J2RC
75,37.3768565,126.6665752,,,37.3768665,126.6665852,8Q989MG9+J2RM
76,37.37685267,126.6665818,,,37.37686227,126.6665914,8Q989MG9+J2RV
77,37.376848,126.6665905,,,37.3768572,126.6665997,8Q989MG9+M224
78,37.3768425,126.6665977,,,37.3768513,126.6666065,8Q989MG9+M228
79,37.37683767,126.6666063,,,37.37684607,126.6666147,8Q989MG9+M22H
80,37.37683167,126.666615,,,37.37683967,126.666623,8Q989MG9+M22Q
81,37.37682567,126.6666243,,,37.37683327,126.6666319,8Q989MG9+M23R
82,37.37682,126.6666317,,,37.3768272,126.6666389,8Q989MG9+M273
83,37.37681433,126.6666395,,,37.37682113,126.6666463,8Q989MG9+M277
84,37.37680867,126.6666485,,,37.37681507,126.6666549,8Q989MG9+M278
85,37.37680267,126.6666572,,,37.37680867,126.6666632,8Q989MG9+M27H
86,37.3767975,126.6666667,,,37.3768031,126.6666723,8Q989MG9+M28C
87,37.37679217,126.6666755,,,37.37679737,126.6666807,8Q989MG9+M28M
88,37.37678633,126.6666848,,,37.37679113,126.6666896,8Q989MG9+M28W
89,37.3767795,126.6666942,,,37.3767839,126.6666986,8Q989MG9+M28X
90,37.37677267,126.6667045,,,37.37677667,126.6667085,8Q989MG9+M2H2
91,37.3767655,126.6667145,,,37.3767691,126.6667181,8Q989MG9+M2H2
92,37.37675883,126.6667252,,,37.37676203,126.6667284,8Q989MG9+M2H7
93,37.37675333,126.6667358,,,37.37675613,126.6667386,8Q989MG9+M2H8
94,37.3767475,126.666746,,,37.3767499,126.6667484,8Q989MG9+M2HH
95,37.37674067,126.6667557,,,37.37674267,126.6667577,8Q989MG9+M3CC
96,37.376733,126.6667647,,,37.3767346,126.6667663,8Q989MG9+M3CM
97,37.37672567,126.6667738,,,37.37672687,126.666775,8Q989MG9+M3CP
98,37.37671833,126.666783,,,37.37671913,126.6667838,8Q989MG9+M3CX
99,37.37671167,126.6667933,,,37.37671207,126.6667937,8Q989MG9+M3M2
100,37.37670517,126.6668028,,,37.37670517,126.6668028,8Q989MG9+M3M3
101,37.37669967,126.6668132,,,37.37670007,126.6668136,8Q989MG9+M3M8
102,37.37669317,126.6668207,,,37.37669397,126.6668215,8Q989MG9+M3MH
103,37.37668717,126.6668297,,,37.37668837,126.6668309,8Q989MG9+M3MQ
104,37.37668133,126.6668393,,,37.37668293,126.6668409,8Q989MG9+M3PR
105,37.37667717,126.6668495,,,37.37667917,126.6668515,8Q989MG9+M3W2
106,37.37667433,126.6668597,,,37.37667673,126.6668621,8Q989MG9+M3W6
107,37.37667,126.6668672,,,37.3766728,126.66687,8Q989MG9+M3WM
108,37.3766675,126.6668747,,,37.3766707,126.6668779,8Q989MG9+M3WV
109,37.376666,126.6668805,,,37.3766696,126.6668841,8Q989MG9+P343
110,37.37666483,126.6668865,,,37.37666883,126.6668905,8Q989MG9+P34F
111,37.3766635,126.6668892,37.37660995,126.6667965,37.37661035,126.6667969,8Q989MG9+P34M
112,37.37666333,126.6668932,37.37661311,126.6667917,37.37661391,126.6667925,8Q989MG9+P34V
113,37.37666333,126.6668957,37.37661641,126.6667869,37.37661761,126.6667881,8Q989MG9+P387
114,37.37666617,126.6669005,37.37661971,126.6667817,37.37662131,126.6667833,8Q989MG9+P38F
115,37.3766665,126.6669,37.37662304,126.6667765,37.37662504,126.6667785,8Q989MG9+P38M
116,37.37666567,126.6668992,37.37662676,126.6667712,37.37662916,126.6667736,8Q989MG9+P3G3
117,37.3766665,126.6669018,37.37663051,126.666766,37.37663331,126.6667688,8Q989MG9+P3G7
118,37.3766635,126.6669103,37.37663432,126.6667608,37.37663752,126.666764,8Q989MG9+P3GG
119,37.37666483,126.6669172,37.37663871,126.666755,37.37664231,126.6667586,8Q989MG9+P3GW
120,37.37667117,126.6669182,37.376643,126.6667492,37.376647,126.6667532,8Q989MG9+P3P5
121,37.37667183,126.6669207,37.37664727,126.6667435,37.37665167,126.6667479,8Q989MG9+P3P9
122,37.37667233,126.6669188,37.37665179,126.6667377,37.37665659,126.6667425,8Q989MG9+P3QC
123,37.37667433,126.666914,37.37665612,126.6667322,37.37666132,126.6667374,8Q989MG9+P3QM
124,37.376695,126.6669103,37.37666039,126.6667267,37.37666599,126.6667323,8Q989MG9+P3QW
125,37.376695,126.6669065,37.37666414,126.6667211,37.37667014,126.6667271,8Q989MG9+P3QW
126,37.37669717,126.666899,37.37666777,126.6667153,37.37667417,126.6667217,8Q989MG9+P3X5
127,37.3766965,126.6669042,37.37667131,126.6667096,37.37667811,126.6667164,8Q989MG9+P4R6
128,37.376701,126.666908,37.37667498,126.6667036,37.37668218,126.6667108,8Q989MG9+P4RF
129,37.37670017,126.6669057,37.37667863,126.6666973,37.37668623,126.6667049,8Q989MG9+P4RP
130,37.3767,126.6669008,37.37668215,126.6666912,37.37669015,126.6666992,8Q989MG9+P4RQ
131,37.3767105,126.666896,37.37668593,126.6666846,37.37669433,126.666693,8Q989MG9+P4RX
132,37.37673883,126.6668985,37.37668943,126.6666784,37.37669823,126.6666872,8Q989MG9+Q432
133,37.37675767,126.6669003,37.37669281,126.6666725,37.37670201,126.6666817,8Q989MG9+Q433
134,37.37676767,126.666902,37.37669646,126.6666658,37.37670606,126.6666754,8Q989MG9+Q438
135,37.37677933,126.6669008,37.37670007,126.6666592,37.37671007,126.6666692,8Q989MG9+Q439
136,37.37679167,126.6669047,37.37670351,126.6666527,37.37671391,126.6666631,8Q989MG9+Q44C
137,37.37679433,126.6669067,37.37670677,126.666646,37.37671757,126.6666568,8Q989MG8+GWC2
138,37.37681083,126.6669105,37.37670998,126.6666389,37.37672118,126.6666501,8Q989MG8+GWC2
139,37.376828,126.6669098,37.37671275,126.6666316,37.37672435,126.6666432,8Q989MG8+GWC2
140,37.376861,126.6669127,37.37671495,126.666624,37.37672695,126.666636,8Q989MG8+GWC6
141,,,37.37671692,126.6666162,37.37672932,126.6666286,8Q989MG8+GWCC
142,,,37.37671885,126.6666083,37.37673165,126.6666211,8Q989MG8+GWCF
143,,,37.37672052,126.6666004,37.37673372,126.6666136,8Q989MG8+GWCM
144,,,37.37672209,126.6665922,37.37673569,126.6666058,8Q989MG8+GWCM
145,,,37.37672335,126.6665839,37.37673735,126.6665979,8Q989MG8+GWCW
146,,,37.37672437,126.6665753,37.37673877,126.6665897,8Q989MG8+GWJ4
147,,,37.37672463,126.6665666,37.37673943,126.6665814,8Q989MG8+GWJ8
148,,,37.37672386,126.6665588,37.37673906,126.666574,8Q989MG8+GWJH
149,,,37.37672278,126.666551,37.37673838,126.6665666,8Q989MG8+GWJH
150,,,37.37672146,126.6665433,37.37673746,126.6665593,8Q989MG8+GWJQ
151,,,37.37672003,126.6665357,37.37673643,126.6665521,8Q989MG8+GWMR
152,,,37.37671837,126.6665283,37.37673517,126.6665451,8Q989MG8+GWMR
153,,,37.3767165,126.666521,37.3767337,126.6665382,8Q989MG8+GWV2
154,,,37.37671446,126.666514,37.37673206,126.6665316,8Q989MG8+GWV7
155,,,37.37671219,126.6665065,37.37673019,126.6665245,8Q989MG8+GWVF
156,,,37.37670916,126.6665014,37.37672756,126.6665198,8Q989MG8+GWVG
157,37.3767305,126.6665107,37.37670801,126.6665048,37.37672681,126.6665236,8Q989MG8+GWVP
158,37.37669233,126.6664742,37.37670704,126.6665075,37.37672624,126.6665267,8Q989MG8+GWVW
159,37.376656,126.666472,37.37670614,126.6665103,37.37672574,126.6665299,8Q989MG8+HW35
